,basin,Q_P,Q_ET,Q_var,year
126,11289650,0.7351606106814915,-0.7258164466445878,65432.04467569306,2012
127,11289650,0.770761710223263,-0.8061725741424425,65235.16545468354,2013
128,11289650,0.7865170498542216,-0.6909858169534692,55902.43710118672,2014
129,11289650,0.7669887664445941,-0.7070322286629723,67612.16159772682,2015
130,11289650,0.8244479771767358,-0.4950763214128874,231690.1348117934,2016
131,11289650,0.9758498577809809,-0.18870157899566598,276021.9188062823,2017
132,11289650,0.8531700699105315,-0.5221523285193573,94032.95719064555,2018
133,11289650,0.8973823735904923,-0.6727137151398751,124209.42912727979,2019
134,11289650,0.7565450341166517,-0.7503678482538043,54645.77940696119,2020
135,11289650,0.8240464677561304,-0.7659252240285278,88445.35694231605,2021
136,11289650,0.8034482946311824,-0.781195214667699,54507.25998070885,2022
137,11289650,0.9042555210717345,-0.6471507428116442,195378.8979385115,2023
138,11418000,0.8711912570603585,-0.5467494443383952,31380.336207060365,2001
139,11418000,0.8615700449410006,-0.6603857027437556,64435.58617081404,2002
140,11418000,0.9279575167391105,-0.47381172574170677,98162.91766612865,2003
141,11418000,0.7977151104739033,-0.7408163675602412,123748.52327779973,2004
142,11418000,0.9795161118767136,-0.4139796413497026,95880.91151147243,2005
143,11418000,0.9723630953140895,-0.28789046833964493,157517.73581089964,2006
144,11418000,0.8175908708255355,-0.7413277141814728,74084.67361066934,2007
145,11418000,0.9033733788773326,-0.6801074127454819,55697.557155173294,2008
146,11418000,0.9139236373427898,-0.600542486337608,131304.95508073148,2009
147,11418000,0.9469438621983494,-0.5003399534267485,162984.05099554243,2010
148,11418000,0.9672756998160893,-0.5159388531372832,99510.83256140501,2011
149,11418000,0.9013707586540928,-0.46076683382660233,91722.25556652588,2012
150,11418000,0.9437567806101274,-0.3518152748681435,20867.844682184183,2013
151,11418000,0.8613782855846017,-0.65156417512291,47133.51494642685,2014
152,11418000,0.8534542745433482,-0.4593440656407024,30639.544327384076,2015
153,11418000,0.9247628051973872,-0.3725377597163899,194787.61083863646,2016
154,11418000,0.9801735436032163,-0.32134958631494315,184683.29762283675,2017
155,11418000,0.9360504349016985,-0.24692340809596705,32101.23878045791,2018
156,11418000,0.9020099176306908,-0.41911488582661555,93564.76076504584,2019
157,11418000,0.8690418142565991,-0.48304920834818454,27184.56377062894,2020
158,11418000,0.8461561699302966,-0.7269260810293711,91458.1728448608,2021
159,11418000,0.9783790105519279,-0.5134034961994316,27713.223424993797,2022
160,11418000,0.9606008164018984,-0.670873478979877,139470.5536736284,2023
